,document,term,count,sentiment,,,,,,
1,1,aggravating,1,negative,,,,,,
2,1,amazed,1,positive,,,,,,
3,1,amazing,4,positive,,,,,,
4,1,available,1,positive,,,,,,
5,1,awe,1,positive,,pos count,114,,,
6,1,awesome,2,positive,,pos freq,203,,sent count ratio:,0.833333333
7,1,bad,6,negative,,,,,sent freq ratio,0.906403941
8,1,berserk,1,negative,,neg count,95,,,
9,1,best,3,positive,,neg freq,184,,,
10,1,betrays,1,negative,,,,,,
11,1,better,3,positive,,,,,,
12,1,bored,1,negative,,,,,,
13,1,bothering,1,negative,,,,,,
14,1,brat,1,negative,,,,,,
15,1,break,1,negative,,,,,,
16,1,broken,1,negative,,,,,,
17,1,celebrated,1,positive,,,,,,
18,1,chaotic,1,negative,,,,,,
19,1,chill,1,negative,,,,,,
20,1,cold,1,negative,,,,,,
21,1,complaint,1,negative,,,,,,
22,1,correct,2,positive,,,,,,
23,1,correctly,1,positive,,,,,,
24,1,cringe,3,negative,,,,,,
25,1,cringed,1,negative,,,,,,
26,1,cry,1,negative,,,,,,
27,1,damage,1,negative,,,,,,
28,1,damn,3,negative,,,,,,
29,1,damned,2,negative,,,,,,
30,1,dead,4,negative,,,,,,
31,1,death,7,negative,,,,,,
32,1,deception,1,negative,,,,,,
33,1,depression,1,negative,,,,,,
34,1,desperate,1,negative,,,,,,
35,1,destroy,1,negative,,,,,,
36,1,detract,1,negative,,,,,,
37,1,devastated,1,negative,,,,,,
38,1,die,2,negative,,,,,,
39,1,died,2,negative,,,,,,
40,1,dies,2,negative,,,,,,
41,1,dirty,1,negative,,,,,,
42,1,disadvantage,1,negative,,,,,,
43,1,disappointing,1,negative,,,,,,
44,1,disastrous,1,negative,,,,,,
45,1,disgusting,1,negative,,,,,,
46,1,dust,1,negative,,,,,,
47,1,dying,1,negative,,,,,,
48,1,enemies,1,negative,,,,,,
49,1,enough,1,positive,,,,,,
50,1,excited,1,positive,,,,,,
51,1,fail,1,negative,,,,,,
52,1,falling,1,negative,,,,,,
53,1,fancy,1,positive,,,,,,
54,1,fave,1,positive,,,,,,
55,1,favorite,2,positive,,,,,,
56,1,fine,2,positive,,,,,,
57,1,flaunt,1,negative,,,,,,
58,1,fragile,1,negative,,,,,,
59,1,fuck,2,negative,,,,,,
60,1,fucking,4,negative,,,,,,
61,1,fun,1,positive,,,,,,
62,1,fury,1,negative,,,,,,
63,1,gain,1,positive,,,,,,
64,1,gems,1,positive,,,,,,
65,1,giddy,1,negative,,,,,,
66,1,glad,2,positive,,,,,,
67,1,good,8,positive,,,,,,
68,1,gracefully,1,positive,,,,,,
69,1,great,2,positive,,,,,,
70,1,greatest,1,positive,,,,,,
71,1,hail,2,positive,,,,,,
72,1,happily,1,positive,,,,,,
73,1,happy,2,positive,,,,,,
74,1,hard,1,negative,,,,,,
75,1,hate,1,negative,,,,,,
76,1,heal,1,positive,,,,,,
77,1,hell,1,negative,,,,,,
78,1,helping,1,positive,,,,,,
79,1,hilarious,1,positive,,,,,,
80,1,holy,1,positive,,,,,,
81,1,honest,1,positive,,,,,,
82,1,horrible,1,negative,,,,,,
83,1,hug,3,positive,,,,,,
84,1,humour,1,positive,,,,,,
85,1,hurting,1,negative,,,,,,
86,1,hurts,1,negative,,,,,,
87,1,hype,1,negative,,,,,,
88,1,important,2,positive,,,,,,
89,1,impossible,1,negative,,,,,,
90,1,inevitable,1,negative,,,,,,
91,1,intense,1,negative,,,,,,
92,1,interesting,1,positive,,,,,,
93,1,irritation,1,negative,,,,,,
94,1,jarring,1,negative,,,,,,
95,1,joke,1,negative,,,,,,
96,1,joy,1,positive,,,,,,
97,1,kill,7,negative,,,,,,
98,1,killed,4,negative,,,,,,
99,1,killing,3,negative,,,,,,
100,1,lack,1,negative,,,,,,
101,1,lead,1,positive,,,,,,
102,1,leads,1,positive,,,,,,
103,1,led,1,positive,,,,,,
104,1,liked,2,positive,,,,,,
105,1,lost,5,negative,,,,,,
106,1,love,2,positive,,,,,,
107,1,loved,5,positive,,,,,,
108,1,lucky,1,positive,,,,,,
109,1,mad,1,negative,,,,,,
110,1,madman,1,negative,,,,,,
111,1,marvel,8,positive,,,,,,
112,1,masterful,1,positive,,,,,,
113,1,mess,1,negative,,,,,,
114,1,misguided,1,negative,,,,,,
115,1,miss,2,negative,,,,,,
116,1,mistake,2,negative,,,,,,
117,1,nice,5,positive,,,,,,
118,1,noise,4,negative,,,,,,
119,1,noisy,1,negative,,,,,,
120,1,odd,1,negative,,,,,,
121,1,outstanding,1,positive,,,,,,
122,1,overwhelming,1,negative,,,,,,
123,1,painful,1,negative,,,,,,
124,1,pander,1,negative,,,,,,
