,document,term,count,sentiment,,,,,,
1,1,absence,1,negative,,,,,,
2,1,ambiguous,1,negative,,,,,,
3,1,appreciated,1,positive,,,,,,
4,1,appropriate,2,positive,,,,,,
5,1,awesome,2,positive,,positive count,114,,,
6,1,awkward,1,negative,,positive freq,181,,,
7,1,bad,3,negative,,,,,sentiment count ratio:,0.640350877
8,1,balanced,1,positive,,,,,sent freq. ratio,0.657458564
9,1,benefit,1,positive,,,,,,
10,1,best,1,positive,,negative count,73,,,
11,1,betray,1,negative,,negative freq,119,,,
12,1,bitch,1,negative,,,,,,
13,1,bless,1,positive,,,,,,
14,1,blunders,1,negative,,,,,,
15,1,blunt,1,negative,,,,,,
16,1,bonus,1,positive,,,,,,
17,1,bother,1,negative,,,,,,
18,1,broke,1,negative,,,,,,
19,1,bullshit,1,negative,,,,,,
20,1,burden,1,negative,,,,,,
21,1,cheer,2,positive,,,,,,
22,1,clear,1,positive,,,,,,
23,1,clearly,1,positive,,,,,,
24,1,cocky,1,negative,,,,,,
25,1,comfort,1,positive,,,,,,
26,1,confront,1,negative,,,,,,
27,1,confused,2,negative,,,,,,
28,1,confusion,1,negative,,,,,,
29,1,cool,3,positive,,,,,,
30,1,courage,1,positive,,,,,,
31,1,crazy,1,negative,,,,,,
32,1,cringed,1,negative,,,,,,
33,1,critical,3,negative,,,,,,
34,1,damn,3,negative,,,,,,
35,1,danger,1,negative,,,,,,
36,1,dead,2,negative,,,,,,
37,1,defeat,1,positive,,,,,,
38,1,destiny,1,positive,,,,,,
39,1,die,4,negative,,,,,,
40,1,died,5,negative,,,,,,
41,1,disappointment,1,negative,,,,,,
42,1,disastrous,1,negative,,,,,,
43,1,dope,1,negative,,,,,,
44,1,dragged,1,negative,,,,,,
45,1,easy,1,positive,,,,,,
46,1,enhanced,1,positive,,,,,,
47,1,enjoyed,1,positive,,,,,,
48,1,entertaining,1,positive,,,,,,
49,1,extraordinary,1,positive,,,,,,
50,1,failure,1,negative,,,,,,
51,1,fairly,2,positive,,,,,,
52,1,fallout,1,negative,,,,,,
53,1,famous,1,positive,,,,,,
54,1,fans,1,positive,,,,,,
55,1,fat,3,negative,,,,,,
56,1,favorite,1,positive,,,,,,
57,1,fear,1,negative,,,,,,
58,1,fine,1,positive,,,,,,
59,1,free,1,positive,,,,,,
60,1,fucking,1,negative,,,,,,
61,1,fun,1,positive,,,,,,
62,1,funny,4,negative,,,,,,
63,1,genius,1,positive,,,,,,
64,1,glad,1,positive,,,,,,
65,1,glare,1,negative,,,,,,
66,1,good,6,positive,,,,,,
67,1,great,5,positive,,,,,,
68,1,grieving,1,negative,,,,,,
69,1,hail,3,positive,,,,,,
70,1,happy,1,positive,,,,,,
71,1,hard,5,negative,,,,,,
72,1,hate,1,negative,,,,,,
73,1,hated,2,negative,,,,,,
74,1,heartwarming,1,positive,,,,,,
75,1,helping,1,positive,,,,,,
76,1,hero,3,positive,,,,,,
77,1,hesitant,1,negative,,,,,,
78,1,hilarious,1,positive,,,,,,
79,1,honest,1,positive,,,,,,
80,1,hug,1,positive,,,,,,
81,1,humor,1,positive,,,,,,
82,1,impossible,1,negative,,,,,,
83,1,impressive,2,positive,,,,,,
84,1,inconsistent,1,negative,,,,,,
85,1,incredibly,3,positive,,,,,,
86,1,insane,1,negative,,,,,,
87,1,intense,1,negative,,,,,,
88,1,interests,1,positive,,,,,,
89,1,invisible,1,negative,,,,,,
90,1,irrelevant,1,negative,,,,,,
91,1,jerky,1,negative,,,,,,
92,1,kill,3,negative,,,,,,
93,1,killed,3,negative,,,,,,
94,1,lead,1,positive,,,,,,
95,1,leading,1,positive,,,,,,
96,1,led,1,positive,,,,,,
97,1,liked,1,positive,,,,,,
