,document,term,count,sentiment,,,,,,
1,1,aggravating,1,negative,,,,,,
2,1,amazing,3,positive,,,,,,
3,1,ambiguous,1,negative,,,,,,
4,1,appropriate,1,positive,,pos count,110,,,
5,1,available,1,positive,,pos freq,186,,,
6,1,awesome,1,positive,,,,,sent count ratio,0.881818182
7,1,bad,3,negative,,neg count,97,,sent freq ratio,0.951612903
8,1,balanced,1,positive,,neg freq,177,,,
9,1,benefit,1,positive,,,,,,
10,1,berserk,1,negative,,,,,,
11,1,best,1,positive,,,,,,
12,1,blunders,1,negative,,,,,,
13,1,blunt,1,negative,,,,,,
14,1,bonus,1,positive,,,,,,
15,1,bothering,1,negative,,,,,,
16,1,brat,1,negative,,,,,,
17,1,break,1,negative,,,,,,
18,1,broken,1,negative,,,,,,
19,1,cheer,1,positive,,,,,,
20,1,chill,1,negative,,,,,,
21,1,clear,1,positive,,,,,,
22,1,clearly,1,positive,,,,,,
23,1,cocky,1,negative,,,,,,
24,1,cold,1,negative,,,,,,
25,1,complaint,1,negative,,,,,,
26,1,confused,1,negative,,,,,,
27,1,cool,1,positive,,,,,,
28,1,correct,2,positive,,,,,,
29,1,correctly,1,positive,,,,,,
30,1,cringe,1,negative,,,,,,
31,1,critical,1,negative,,,,,,
32,1,cry,1,negative,,,,,,
33,1,damage,1,negative,,,,,,
34,1,damn,5,negative,,,,,,
35,1,damned,1,negative,,,,,,
36,1,danger,1,negative,,,,,,
37,1,dead,3,negative,,,,,,
38,1,death,5,negative,,,,,,
39,1,deception,1,negative,,,,,,
40,1,depression,1,negative,,,,,,
41,1,desperate,1,negative,,,,,,
42,1,destiny,1,positive,,,,,,
43,1,destroy,1,negative,,,,,,
44,1,detract,1,negative,,,,,,
45,1,devastated,1,negative,,,,,,
46,1,died,3,negative,,,,,,
47,1,dies,1,negative,,,,,,
48,1,disadvantage,1,negative,,,,,,
49,1,disastrous,1,negative,,,,,,
50,1,disgusting,1,negative,,,,,,
51,1,dust,1,negative,,,,,,
52,1,dying,1,negative,,,,,,
53,1,enemies,1,negative,,,,,,
54,1,enough,1,positive,,,,,,
55,1,excited,1,positive,,,,,,
56,1,fail,1,negative,,,,,,
57,1,fairly,1,positive,,,,,,
58,1,falling,1,negative,,,,,,
59,1,fancy,1,positive,,,,,,
60,1,fave,1,positive,,,,,,
61,1,favorite,2,positive,,,,,,
62,1,fine,2,positive,,,,,,
63,1,fragile,1,negative,,,,,,
64,1,fuck,2,negative,,,,,,
65,1,fucking,1,negative,,,,,,
66,1,fury,1,negative,,,,,,
67,1,gain,1,positive,,,,,,
68,1,gems,1,positive,,,,,,
69,1,genius,1,positive,,,,,,
70,1,glad,1,positive,,,,,,
71,1,good,9,positive,,,,,,
72,1,great,6,positive,,,,,,
73,1,hail,2,positive,,,,,,
74,1,happily,1,positive,,,,,,
75,1,happy,1,positive,,,,,,
76,1,hate,2,negative,,,,,,
77,1,heal,1,positive,,,,,,
78,1,hell,1,negative,,,,,,
79,1,helping,1,positive,,,,,,
80,1,hilarious,1,positive,,,,,,
81,1,holy,1,positive,,,,,,
82,1,hug,3,positive,,,,,,
83,1,humour,1,positive,,,,,,
84,1,hurting,1,negative,,,,,,
85,1,hurts,1,negative,,,,,,
86,1,important,1,positive,,,,,,
87,1,impossible,1,negative,,,,,,
88,1,impressive,1,positive,,,,,,
89,1,incredibly,1,positive,,,,,,
90,1,inevitable,1,negative,,,,,,
91,1,insane,1,negative,,,,,,
92,1,intense,1,negative,,,,,,
93,1,interesting,1,positive,,,,,,
94,1,irritation,1,negative,,,,,,
95,1,jarring,1,negative,,,,,,
96,1,joke,1,negative,,,,,,
97,1,kill,6,negative,,,,,,
98,1,killed,5,negative,,,,,,
99,1,killing,3,negative,,,,,,
100,1,lead,1,positive,,,,,,
101,1,leads,1,positive,,,,,,
102,1,led,1,positive,,,,,,
103,1,liked,3,positive,,,,,,
104,1,lose,1,negative,,,,,,
105,1,lost,4,negative,,,,,,
106,1,love,2,positive,,,,,,
107,1,loved,8,positive,,,,,,
108,1,madman,1,negative,,,,,,
109,1,marvel,7,positive,,,,,,
110,1,misguided,1,negative,,,,,,
111,1,miss,1,negative,,,,,,
112,1,mistake,5,negative,,,,,,
113,1,mistakes,1,negative,,,,,,
114,1,nice,7,positive,,,,,,
115,1,noise,4,negative,,,,,,
116,1,noisy,1,negative,,,,,,
117,1,odd,1,negative,,,,,,
118,1,outstanding,1,positive,,,,,,
119,1,overwhelmed,1,negative,,,,,,
120,1,pander,1,negative,,,,,,
121,1,paradise,1,positive,,,,,,
122,1,perfect,1,positive,,,,,,
123,1,perfectly,3,positive,,,,,,
124,1,plot,6,negative,,,,,,
125,1,powerful,3,positive,,,,,,
126,1,pretty,5,positive,,,,,,
127,1,pride,2,positive,,,,,,
128,1,prison,2,negative,,,,,,
129,1,problem,1,negative,,,,,,
130,1,promise,1,positive,,,,,,
131,1,protect,2,positive,,,,,,
132,1,proud,1,positive,,,,,,
133,1,proves,1,positive,,,,,,
134,1,punch,1,negative,,,,,,
135,1,puny,1,negative,,,,,,
136,1,quiet,1,positive,,,,,,
137,1,randomly,1,negative,,,,,,
138,1,ready,1,positive,,,,,,
139,1,rectify,1,positive,,,,,,
140,1,regard,1,positive,,,,,,
141,1,relief,1,positive,,,,,,
142,1,resistance,2,negative,,,,,,
143,1,revenge,2,negative,,,,,,
144,1,right,6,positive,,,,,,
145,1,rip,1,negative,,,,,,
146,1,ruin,1,negative,,,,,,
147,1,ruined,2,negative,,,,,,
148,1,sacrificed,1,negative,,,,,,
149,1,sad,2,negative,,,,,,
150,1,sadly,1,negative,,,,,,
151,1,safe,1,positive,,,,,,
152,1,satisfying,1,positive,,,,,,
153,1,screwed,1,negative,,,,,,
154,1,shine,1,positive,,,,,,
155,1,shit,1,negative,,,,,,
156,1,significant,1,positive,,,,,,
157,1,silent,1,positive,,,,,,
158,1,simpler,1,positive,,,,,,
159,1,smash,1,negative,,,,,,
160,1,smile,1,positive,,,,,,
161,1,sorry,2,negative,,,,,,
162,1,spectacular,1,positive,,,,,,
163,1,split,1,negative,,,,,,
164,1,spoil,1,negative,,,,,,
165,1,spoiled,1,negative,,,,,,
166,1,stark,7,negative,,,,,,
167,1,steal,1,negative,,,,,,
168,1,stealing,1,negative,,,,,,
169,1,strange,13,negative,,,,,,
170,1,strongest,1,positive,,,,,,
171,1,struck,1,negative,,,,,,
172,1,stunned,1,positive,,,,,,
173,1,stupidity,1,negative,,,,,,
174,1,suffered,1,negative,,,,,,
175,1,super,2,positive,,,,,,
176,1,superior,1,positive,,,,,,
177,1,support,1,positive,,,,,,
178,1,surreal,1,positive,,,,,,
179,1,sweet,1,positive,,,,,,
180,1,tease,1,negative,,,,,,
181,1,thankful,1,positive,,,,,,
182,1,trauma,1,negative,,,,,,
183,1,triumphantly,1,positive,,,,,,
184,1,unexpected,1,negative,,,,,,
185,1,unlucky,1,negative,,,,,,
186,1,unworthy,1,negative,,,,,,
187,1,vengeful,1,negative,,,,,,
188,1,wasting,1,negative,,,,,,
189,1,weak,1,negative,,,,,,
190,1,weird,1,negative,,,,,,
191,1,welcome,1,positive,,,,,,
192,1,well,11,positive,,,,,,
193,1,wholesome,1,positive,,,,,,
194,1,willing,2,positive,,,,,,
195,1,win,3,positive,,,,,,
196,1,won,2,positive,,,,,,
197,1,wonder,1,positive,,,,,,
198,1,wonderful,2,positive,,,,,,
199,1,work,3,positive,,,,,,
200,1,worked,1,positive,,,,,,
201,1,works,3,positive,,,,,,
202,1,worried,1,negative,,,,,,
203,1,worst,1,negative,,,,,,
204,1,worthiness,2,positive,,,,,,
205,1,worthy,11,positive,,,,,,
206,1,wow,1,positive,,,,,,
207,1,wrong,2,negative,,,,,,
