,document,term,count,sentiment,,,,,,,
1,1,absence,1,negative,,,,,,,
2,1,amazed,1,positive,,,,,,,
3,1,amazing,1,positive,,,,,,,
4,1,appreciated,1,positive,,pos count,115,,,,
5,1,appropriate,1,positive,,pos freq,179,,,sent count ratio,0.695652174
6,1,awe,1,positive,,,,,,sent freq ratio,0.720670391
7,1,awesome,3,positive,,neg count,80,,,,
8,1,awkward,1,negative,,neg freq,129,,,,
9,1,bad,6,negative,,,,,,,
10,1,best,3,positive,,,,,,,
11,1,betray,1,negative,,,,,,,
12,1,betrays,1,negative,,,,,,,
13,1,better,3,positive,,,,,,,
14,1,bitch,1,negative,,,,,,,
15,1,bless,1,positive,,,,,,,
16,1,bored,1,negative,,,,,,,
17,1,bother,1,negative,,,,,,,
18,1,broke,1,negative,,,,,,,
19,1,bullshit,1,negative,,,,,,,
20,1,burden,1,negative,,,,,,,
21,1,celebrated,1,positive,,,,,,,
22,1,chaotic,1,negative,,,,,,,
23,1,cheer,1,positive,,,,,,,
24,1,comfort,1,positive,,,,,,,
25,1,confront,1,negative,,,,,,,
26,1,confused,1,negative,,,,,,,
27,1,confusion,1,negative,,,,,,,
28,1,cool,2,positive,,,,,,,
29,1,courage,1,positive,,,,,,,
30,1,crazy,1,negative,,,,,,,
31,1,cringe,2,negative,,,,,,,
32,1,cringed,2,negative,,,,,,,
33,1,critical,2,negative,,,,,,,
34,1,damn,1,negative,,,,,,,
35,1,damned,1,negative,,,,,,,
36,1,dead,3,negative,,,,,,,
37,1,death,2,negative,,,,,,,
38,1,defeat,1,positive,,,,,,,
39,1,die,6,negative,,,,,,,
40,1,died,4,negative,,,,,,,
41,1,dies,1,negative,,,,,,,
42,1,dirty,1,negative,,,,,,,
43,1,disappointing,1,negative,,,,,,,
44,1,disappointment,1,negative,,,,,,,
45,1,disastrous,1,negative,,,,,,,
46,1,dope,1,negative,,,,,,,
47,1,dragged,1,negative,,,,,,,
48,1,easy,1,positive,,,,,,,
49,1,enhanced,1,positive,,,,,,,
50,1,enjoyed,1,positive,,,,,,,
51,1,entertaining,1,positive,,,,,,,
52,1,extraordinary,1,positive,,,,,,,
53,1,failure,1,negative,,,,,,,
54,1,fairly,1,positive,,,,,,,
55,1,fallout,1,negative,,,,,,,
56,1,famous,1,positive,,,,,,,
57,1,fans,1,positive,,,,,,,
58,1,fat,3,negative,,,,,,,
59,1,favorite,1,positive,,,,,,,
60,1,fear,1,negative,,,,,,,
61,1,fine,1,positive,,,,,,,
62,1,flaunt,1,negative,,,,,,,
63,1,free,1,positive,,,,,,,
64,1,fucking,4,negative,,,,,,,
65,1,fun,2,positive,,,,,,,
66,1,funny,4,negative,,,,,,,
67,1,giddy,1,negative,,,,,,,
68,1,glad,2,positive,,,,,,,
69,1,glare,1,negative,,,,,,,
70,1,good,5,positive,,,,,,,
71,1,gracefully,1,positive,,,,,,,
72,1,great,1,positive,,,,,,,
73,1,greatest,1,positive,,,,,,,
