,x,,,,,
102,1,1,,Total:,286,
205,0.812878542,2,,Top 20%:,57.2,
131,0.697849303,3,,Bottom 80%,228.8,
86,0.627905223,4,,,,
91,0.617651552,5,,,,
206,0.57196364,6,,,,
170,0.559815619,7,,,,
124,0.539587929,8,,,,
11,0.517956906,9,,,,
240,0.48249856,10,,,,
139,0.462497983,11,,,,
74,0.432709478,12,,,,
209,0.419871088,13,,,,
4,0.394001801,14,,,,
108,0.371135249,15,,,,
114,0.371135249,16,,,,
151,0.371135249,17,,,,
167,0.371135249,18,,,,
203,0.371135249,19,,,,
54,0.353427143,20,,,,
25,0.326714054,21,,,,
44,0.326714054,22,,,,
219,0.326714054,23,,,,
149,0.298995896,24,,,,
34,0.292290043,25,,,,
187,0.182825709,26,,,,
119,0.169686018,27,,,,
220,0.150280801,28,,,,
143,0.146422799,29,,,,
37,0.145067323,30,,,,
156,0.12125148,31,,,,
69,0.112540436,32,,,,
118,0.108030024,33,,,,
175,0.10619137,34,,,,
235,0.098236273,35,,,,
125,0.091622395,36,,,,
126,0.091622395,37,,,,
214,0.091622395,38,,,,
40,0.088559289,39,,,,
38,0.084848569,40,,,,
99,0.084848569,41,,,,
194,0.08003432,42,,,,
3,0.079683523,43,,,,
111,0.071232459,44,,,,
27,0.070597277,45,,,,
51,0.070597277,46,,,,
85,0.070597277,47,,,,
105,0.070597277,48,,,,
150,0.070597277,49,,,,
165,0.070597277,50,,,,
188,0.070597277,51,,,,
197,0.070550404,52,,,,
134,0.07027167,53,,,,
152,0.07027167,54,,,,
234,0.07027167,55,,,,
144,0.068092145,56,,,,
166,0.064375004,57,,,,
138,0.06161245,58,,,,
193,0.06161245,59,,,,
8,0.059851265,60,,,,
98,0.059851265,61,,,,
224,0.059851265,62,,,,
184,0.058031278,63,,,,
112,0.057472736,64,,,,
200,0.056739433,65,,,,
97,0.0554987,66,,,,
10,0.055428633,67,,,,
190,0.055428633,68,,,,
198,0.053371807,69,,,,
106,0.050083439,70,,,,
120,0.050083439,71,,,,
79,0.049348207,72,,,,
92,0.044609233,73,,,,
109,0.044609233,74,,,,
159,0.044609233,75,,,,
180,0.044609233,76,,,,
201,0.044609233,77,,,,
208,0.044609233,78,,,,
238,0.044609233,79,,,,
65,0.034618719,80,,,,
49,0.032500506,81,,,,
61,0.032500506,82,,,,
121,0.032500506,83,,,,
173,0.031912594,84,,,,
127,0.031679788,85,,,,
204,0.031679788,86,,,,
23,0.030366594,87,,,,
213,0.030366594,88,,,,
56,0.028495634,89,,,,
39,0.026713089,90,,,,
154,0.026713089,91,,,,
164,0.026713089,92,,,,
211,0.026713089,93,,,,
19,0.026026483,94,,,,
47,0.026026483,95,,,,
87,0.026026483,96,,,,
110,0.026026483,97,,,,
142,0.026026483,98,,,,
146,0.026026483,99,,,,
35,0.024446772,100,,,,
67,0.024446772,101,,,,
202,0.024446772,102,,,,
229,0.024446772,103,,,,
231,0.024446772,104,,,,
45,0.021989759,105,,,,
199,0.020634917,106,,,,
189,0.01842187,107,,,,
210,0.018008706,108,,,,
95,0.016821869,109,,,,
226,0.012434,110,,,,
18,0.011838808,111,,,,
12,0.011106611,112,,,,
123,0.011106611,113,,,,
153,0.011106611,114,,,,
216,0.011106611,115,,,,
78,0.010152717,116,,,,
217,0.009563487,117,,,,
33,0.0095248,118,,,,
178,0.0095248,119,,,,
6,0.00911018,120,,,,
160,0.009109849,121,,,,
145,0.008875766,122,,,,
24,0.008548569,123,,,,
63,0.008548569,124,,,,
236,0.008548569,125,,,,
20,0.008026264,126,,,,
94,0.008026264,127,,,,
141,0.008026264,128,,,,
196,0.008026264,129,,,,
171,0.007093012,130,,,,
41,0.006960447,131,,,,
183,0.006933892,132,,,,
228,0.006613878,133,,,,
186,0.00654271,134,,,,
60,0.005384486,135,,,,
