,x,,,,,,
35,1,1,,,Top 20:,A2-A28,Spread: 1-0.2268
56,0.911508595,2,,,,,
49,0.880975339,3,,,,,
124,0.788886872,4,,,,,
119,0.761196991,5,,,,,
100,0.552997384,6,,,,,
50,0.515759877,7,,,,,
70,0.508001504,8,,,,,
83,0.47869385,9,,,,,
72,0.474521904,10,,,,,
111,0.459467604,11,,,,,
42,0.450223031,12,,,,,
27,0.395384406,13,,,,,
51,0.381034097,14,,,,,
91,0.367568151,15,,,,,
116,0.367359354,16,,,,,
98,0.35627261,17,,,,,
58,0.339785293,18,,,,,
125,0.306907403,19,,,,,
106,0.29944166,20,,,,,
99,0.299381354,21,,,,,
19,0.289025065,22,,,,,
54,0.279046285,23,,,,,
97,0.271387233,24,,,,,
129,0.240399711,25,,,,,
21,0.229604766,26,,,,,
126,0.226816614,27,,,,,
120,0.210007296,28,,,,,
127,0.194696,29,,,,,
61,0.16298714,30,,,,,
76,0.16298714,31,,,,,
117,0.162823402,32,,,,,
109,0.161822215,33,,,,,
123,0.157787935,34,,,,,
122,0.153358862,35,,,,,
66,0.145198698,36,,,,,
36,0.142009776,37,,,,,
18,0.13889451,38,,,,,
4,0.134474612,39,,,,,
67,0.133120937,40,,,,,
63,0.125787685,41,,,,,
79,0.118719099,42,,,,,
23,0.116317288,43,,,,,
38,0.11587362,44,,,,,
2,0.109509221,45,,,,,
60,0.109509221,46,,,,,
87,0.106082564,47,,,,,
130,0.106082564,48,,,,,
71,0.105194205,49,,,,,
128,0.092799955,50,,,,,
131,0.092396187,51,,,,,
69,0.085627017,52,,,,,
75,0.074427272,53,,,,,
39,0.072097672,54,,,,,
102,0.069813546,55,,,,,
53,0.066968547,56,,,,,
86,0.066899701,57,,,,,
105,0.062605007,58,,,,,
14,0.06151633,59,,,,,
15,0.057584714,60,,,,,
28,0.056408229,61,,,,,
113,0.055290707,62,,,,,
43,0.052750556,63,,,,,
112,0.045597904,64,,,,,
110,0.045354505,65,,,,,
92,0.043506246,66,,,,,
64,0.042614686,67,,,,,
88,0.036047037,68,,,,,
45,0.021740029,69,,,,,
20,0.021608829,70,,,,,
132,0.018448462,71,,,,,
46,0.015606388,72,,,,,
95,0.012656661,73,,,,,
33,0.011854617,74,,,,,
10,0.0071932,75,,,,,
17,0.005712834,76,,,,,
85,0.000305586,77,,,,,
0,0,78,,,,,
1,0,79,,,,,
3,0,80,,,,,
5,0,81,,,,,
6,0,82,,,,,
7,0,83,,,,,
8,0,84,,,,,
9,0,85,,,,,
11,0,86,,,,,
12,0,87,,,,,
13,0,88,,,,,
16,0,89,,,,,
22,0,90,,,,,
24,0,91,,,,,
25,0,92,,,,,
26,0,93,,,,,
29,0,94,,,,,
30,0,95,,,,,
31,0,96,,,,,
32,0,97,,,,,
34,0,98,,,,,
37,0,99,,,,,
40,0,100,,,,,
41,0,101,,,,,
44,0,102,,,,,
47,0,103,,,,,
48,0,104,,,,,
52,0,105,,,,,
55,0,106,,,,,
57,0,107,,,,,
59,0,108,,,,,
62,0,109,,,,,
65,0,110,,,,,
68,0,111,,,,,
73,0,112,,,,,
74,0,113,,,,,
77,0,114,,,,,
78,0,115,,,,,
80,0,116,,,,,
81,0,117,,,,,
82,0,118,,,,,
84,0,119,,,,,
89,0,120,,,,,
90,0,121,,,,,
93,0,122,,,,,
94,0,123,,,,,
96,0,124,,,,,
101,0,125,,,,,
103,0,126,,,,,
104,0,127,,,,,
107,0,128,,,,,
108,0,129,,,,,
114,0,130,,,,,
115,0,131,,,,,
118,0,132,,,,,
121,0,133,,,,,
