from,to,weight,title
0,97,1,I am starting to get some ideas...
1,35,1,"his twitter bio clearly states "" RTs ` Endorsements  """
1,105,1,And then he goes undercover as a fucking terrorist and kills them from within. Then gets caught and dies. Comes back to life when Daya bawls on his chest. 
2,28,1,"The thing is that there is no evidence available that IAF hit any of those military camps, so the western media is not believing ithttps://www.newslaundry.com/2019/02/28/a-look-at-what-the-international-media-is-saying-about-the-indo-pak-war-games"
2,35,1,This is as true as reports stating killingsof 300+
3,95,1,"MiG-21 is a Light Combat Aircraft. Rafale is Medium, it wont replace it. The Tejas was meant to replace it, and we all know how thats going... "
4,35,1,General Elections of 2019 will answer them.
4,54,1,"Yes, let me call my friend at ISRO."
4,58,1,This comment! 
4,122,1,ANI tweeted the same a while before:  https://twitter.com/ANI/status/1101826679037743104 
4,83,1,"Indian airspace is completely open and operating normally. Northern airports was closed for an hour on the day when PAF tried to enter Indian airspace.And that was all."
5,20,1,"&gt; &gt; People don't know if u see any pak news channel the bullshit they show with literacy rate 78%(i think so) the propaganda works wonder there wheare as we doubt our media"
5,21,1,They should put out something spread it into Pakistan so the fake news get's countered
5,54,2,"how do google maps satellite imaging work is it on a cycle or somethinglet's wait and probably we can compare "
6,7,1,recording to Mai bhi bana sakta hun.
7,23,1,https://m.timesofindia.com/india/indian-jets-hit-school-of-jihad-says-azhars-brother-in-audio/articleshow/68238334.cms
7,64,1,"https://m.timesofindia.com/india/indian-jets-hit-school-of-jihad-says-azhars-brother-in-audio/articleshow/68238334.cmsFrom horses mouth.."
7,79,1,https://m.timesofindia.com/india/indian-jets-hit-school-of-jihad-says-azhars-brother-in-audio/articleshow/68238334.cms
7,106,1,https://m.timesofindia.com/india/indian-jets-hit-school-of-jihad-says-azhars-brother-in-audio/articleshow/68238334.cms
8,54,1,Sometimes years
9,121,1,Sad :(
10,123,1,That is Pak's F16
10,43,1,"I just gave examples of those two incidents. I do believe in both things but Pakistan never accepted killing of Osama and there are many countries which still doubt moon landing. Good thing is most people in US never doubted in what they were told by govt. Point is Pakistan govt and media can keep denying Osama killing, Surgical strike, air strike, F16 forever but that doesn't change the truth for rest of the world.International media like CNN, BBC are famously associated with certain ideology. I personally find most stories of NYT and WSJ fair and neutral. It is not in business interest of many countries and parties that India, Pakistan become friends and grow together."
10,56,1,"NDTV is one of the most biased media houses of India but than so is every other channel.News portals have chosen their camps Right, Left or center. Money, power and Ideology being the deciding factor.International media will never want India / Pakistan to come together and solve issues after all we buy most weapons. This kind of difference news game has been always played in past too specifically during war like sceneorios like this one but it looks more today due to social media and reach of internet.The truth of this may never come out just like Osama case or US moon landing etc."
10,86,1,"In India not just the airspace is open but world's largest gathering ""Kumbh"" is going peacefully in Prayagraj, Australia is playing matches peacefully, Hero Football league is going on, Modi, Shah, Rahul are doing election campaign, our PM is not even taking calls from Pakistan.Pak govt has never accepted Osama killing, surgical strikes, for many years Kargil war they will take few decades to accept Air Strike.Number may not be 300 killed at Balakot but if IAF entered in Pak and dropped bombs that is a big deal and changes India's responses to future possible attacks. If govt had done this after Mumbai attacks that would have been best. "
11,51,1,"Bermuda triangle.Honestly I believe in our army's F-16 story."
11,56,1,Pkmkb
11,124,1,Better than Salman khan
12,35,1,rofl. 
13,66,1,"Why with all India military,intelligence capability and resources couldn't they just ""import"" all this key individual to India to be trial or if it too hard to get them out then just send them all to a good night ""sleep""."
