,x,,,,,,
51,1,1,,Total Count:,133,,
72,0.727725747,2,,Top 20:,26.6,A2-A28,Spread: 1-0.194
55,0.634063341,3,,Bottom 80:,106.4,,
19,0.59437532,4,,,,,
119,0.517367301,5,,,,,
120,0.513372347,6,,,,,
28,0.48895072,7,,,,,
42,0.488180412,8,,,,,
56,0.473650948,9,,,,,
66,0.450544191,10,,,,,
49,0.414345063,11,,,,,
61,0.412542267,12,,,,,
4,0.409552929,13,,,,,
91,0.382318416,14,,,,,
11,0.3787203,15,,,,,
106,0.345697763,16,,,,,
99,0.325953329,17,,,,,
27,0.321910871,18,,,,,
116,0.318770175,19,,,,,
18,0.2990097,20,,,,,
58,0.266657425,21,,,,,
50,0.257111567,22,,,,,
67,0.246868991,23,,,,,
118,0.220163264,24,,,,,
10,0.216331262,25,,,,,
26,0.203591333,26,,,,,
105,0.19425223,27,,,,,
1,0.193343121,28,,,,,
2,0.192215605,29,,,,,
89,0.185316604,30,,,,,
53,0.183182559,31,,,,,
12,0.181952014,32,,,,,
121,0.181952014,33,,,,,
65,0.177598299,34,,,,,
87,0.165850824,35,,,,,
100,0.162969252,36,,,,,
23,0.160295237,37,,,,,
94,0.151164735,38,,,,,
93,0.148231502,39,,,,,
39,0.147829741,40,,,,,
14,0.143539555,41,,,,,
78,0.143539555,42,,,,,
38,0.138501325,43,,,,,
98,0.138501325,44,,,,,
7,0.105003185,45,,,,,
111,0.097067649,46,,,,,
5,0.096481853,47,,,,,
30,0.093843548,48,,,,,
31,0.093843548,49,,,,,
96,0.093843548,50,,,,,
101,0.093843548,51,,,,,
41,0.092431897,52,,,,,
107,0.092431897,53,,,,,
86,0.08709931,54,,,,,
44,0.086340216,55,,,,,
76,0.086340216,56,,,,,
45,0.083601056,57,,,,,
83,0.082371044,58,,,,,
102,0.077514465,59,,,,,
114,0.073367257,60,,,,,
22,0.071940989,61,,,,,
80,0.071940989,62,,,,,
34,0.069681388,63,,,,,
81,0.069681003,64,,,,,
69,0.066879765,65,,,,,
104,0.066879765,66,,,,,
37,0.066244976,67,,,,,
74,0.064824519,68,,,,,
103,0.064824519,69,,,,,
113,0.064824519,70,,,,,
15,0.061824618,71,,,,,
60,0.059643044,72,,,,,
47,0.054484013,73,,,,,
112,0.054484013,74,,,,,
32,0.052930005,75,,,,,
84,0.052588693,76,,,,,
97,0.051905262,77,,,,,
8,0.050773033,78,,,,,
36,0.050773033,79,,,,,
57,0.050773033,80,,,,,
68,0.050773033,81,,,,,
77,0.050773033,82,,,,,
92,0.050773033,83,,,,,
0,0.049379454,84,,,,,
95,0.049379454,85,,,,,
108,0.04177705,86,,,,,
90,0.035425329,87,,,,,
110,0.03427843,88,,,,,
43,0.030752695,89,,,,,
24,0.029626046,90,,,,,
71,0.029626046,91,,,,,
73,0.027903954,92,,,,,
13,0.026419195,93,,,,,
79,0.025507388,94,,,,,
21,0.025272136,95,,,,,
17,0.021601179,96,,,,,
117,0.019140297,97,,,,,
82,0.013542192,98,,,,,
64,0.012702715,99,,,,,
29,0.00959807,100,,,,,
109,0.00959807,101,,,,,
63,0.008252344,102,,,,,
85,0.007753828,103,,,,,
48,0.006558831,104,,,,,
70,0.006558831,105,,,,,
3,0.002302905,106,,,,,
40,0.002302905,107,,,,,
62,0.001364419,108,,,,,
124,2.31E-17,109,,,,,
88,1.83E-17,110,,,,,
125,1.09E-17,111,,,,,
126,1.09E-17,112,,,,,
127,1.09E-17,113,,,,,
122,8.98E-18,114,,,,,
123,4.49E-18,115,,,,,
129,4.49E-18,116,,,,,
6,4.47E-18,117,,,,,
9,4.47E-18,118,,,,,
16,4.47E-18,119,,,,,
59,4.47E-18,120,,,,,
128,2.25E-18,121,,,,,
130,2.25E-18,122,,,,,
131,2.25E-18,123,,,,,
132,2.25E-18,124,,,,,
25,7.73E-19,125,,,,,
33,7.73E-19,126,,,,,
46,7.73E-19,127,,,,,
115,3.86E-19,128,,,,,
20,0,129,,,,,
35,0,130,,,,,
52,0,131,,,,,
54,0,132,,,,,
75,0,133,,,,,
