id,user
0,_init1
1,#NAME?
2,2RsPeople
3,AAABattery03
4,abhijeetps
5,AdiCrio
6,AdviceSeekerCA
7,Alex8525
8,amazingmaximo
9,amerind386
10,amitkdw
11,Anon-Ymous_hat
12,apachaihop
13,APnuke
14,beeindia
15,bengadi
16,BhagwaRaj
17,bilaljsa
18,bishopsandrooks
19,black-0ut
20,blinkinghell
21,BlueCoolant
22,CakeDay--Bot
23,CallmeRouge
24,Cant_Turn_Right
25,captnspock
26,casualphilosopher1
27,chaha-pohe
28,Chakudo
29,chandu6234
30,choteustad
31,CisternaChyli
32,CivilizedBeast
33,crocSauce109
34,cyberspark15
35,deep639
36,DesperateEggplant
37,desultoryquest
38,Diamondcheck123
39,donald_the_traitor
40,econ_throwaways
41,El_Impresionante
42,EmptyFollowing8
43,Engage-Eight
44,erdtrd
45,exynos9810
46,FeistyInformation
47,Freak5_5
48,freebird471
49,fuckingc00nt
50,genocide2225
51,GORAKHPUR
52,GuysImReallyConfused
53,h11584
54,h8j
55,HackrKnownAsFullChan
56,heeeeeeeee33333
57,HolyFuckfire
58,howisrobin
59,IamIndian_1
60,InterestingArgument
61,Iwanttolive2
62,janglibilawad
63,jasonj2232
64,Keerikkadan91
65,KidsMaker
66,ks00347
67,lampahliao
68,LegGlance
69,letskeepthisaccount
70,LogicalAmeoba
71,mcrniceni
72,mitr0n0n0n00n
73,mrfreeze2000
74,MSingh3012
75,Nirdheeshwar
76,Not_Cleaver
77,nromil
78,Numero_x
79,Nyquiiist
80,pacman385
81,peedyoj
82,pi3141592653589
83,potato_aim_potato_pc
84,python00078
85,RaftelIsMyCity
86,rahulchauhanpsg
87,RandiaNumberOne
88,raoolp
89,reekomathukutty
90,revolution110
91,SaltyMarmot5819
92,sarthak13
93,saurabhdawar311
94,saxenas1
95,seargantWhiskeyJack
96,sehgalayush26
97,serialposter
98,Shahrukh_Lee
99,SinA7X
100,skinsaremylife
101,smp476
102,something---random
103,soumil_a
104,stannisbaratheonking
105,Stone_hyena
106,Stuge234
107,T-two
108,tamalm
109,the_super_one
110,The-SpaceGuy
111,thelahoriguy
112,thexindi
113,tinkthank
114,tml19monkey
115,trashtalk99
116,vikaslohia
117,XilentXenocide
118,xxSYXxx
119,YahodiSazish
120,yantrik
121,zod0707
122,MountLead
123,Aimhighest
124,hidden_person
125,zweone
126,pitchwin
127,gauthamtraj
128,mishraakshay
129,ML-newb
130,Ajaatshatru34
131,sainiboii
132,indianego
