"","document","term","count","sentiment"
"1","1","achievement",1,"positive"
"2","1","adamant",1,"negative"
"3","1","advocate",1,"positive"
"4","1","afraid",3,"negative"
"5","1","anger",1,"negative"
"6","1","assault",1,"negative"
"7","1","assure",1,"positive"
"8","1","attack",9,"negative"
"9","1","attacks",1,"negative"
"10","1","available",2,"positive"
"11","1","award",1,"positive"
"12","1","bad",4,"negative"
"13","1","bash",1,"negative"
"14","1","bashed",1,"negative"
"15","1","bastard",1,"negative"
"16","1","beauty",1,"positive"
"17","1","bent",1,"negative"
"18","1","best",3,"positive"
"19","1","better",4,"positive"
"20","1","bias",2,"negative"
"21","1","biased",2,"negative"
"22","1","bitch",1,"negative"
"23","1","blackmail",1,"negative"
"24","1","bliss",1,"positive"
"25","1","bloody",1,"negative"
"26","1","blunder",1,"negative"
"27","1","bomb",3,"negative"
"28","1","brave",1,"positive"
"29","1","breaking",1,"negative"
"30","1","broke",1,"negative"
"31","1","celebrated",1,"positive"
"32","1","clear",1,"positive"
"33","1","clearly",1,"positive"
"34","1","concerned",1,"negative"
"35","1","condemned",3,"negative"
"36","1","contradict",2,"negative"
"37","1","correct",1,"positive"
"38","1","crashed",1,"negative"
"39","1","crazy",1,"negative"
"40","1","credible",2,"positive"
"41","1","crisis",1,"negative"
"42","1","criticize",1,"negative"
"43","1","cry",1,"negative"
"44","1","damage",4,"negative"
"45","1","damn",1,"negative"
"46","1","dead",2,"negative"
"47","1","death",1,"negative"
"48","1","defeat",1,"positive"
"49","1","delay",2,"negative"
"50","1","delusion",1,"negative"
"51","1","delusional",1,"negative"
"52","1","denied",4,"negative"
"53","1","dense",1,"negative"
"54","1","dents",1,"negative"
"55","1","die",3,"negative"
"56","1","died",1,"negative"
"57","1","diplomatic",1,"positive"
"58","1","disheartening",1,"negative"
"59","1","disputed",1,"negative"
"60","1","dread",2,"negative"
"61","1","dreadful",1,"negative"
"62","1","dud",1,"negative"
"63","1","dying",2,"negative"
"64","1","enemy",4,"negative"
"65","1","enough",2,"positive"
"66","1","entertain",1,"positive"
"67","1","erase",1,"negative"
"68","1","evil",1,"negative"
"69","1","excuse",3,"negative"
"70","1","exhausted",1,"negative"
"71","1","extremism",1,"negative"
"72","1","extremists",1,"negative"
"73","1","failure",1,"negative"
"74","1","faithfully",1,"positive"
"75","1","fall",1,"negative"
"76","1","fault",1,"negative"
"77","1","fear",1,"negative"
"78","1","fiasco",1,"negative"
"79","1","fiction",1,"negative"
"80","1","flares",1,"negative"
"81","1","free",2,"positive"
"82","1","fuck",3,"negative"
"83","1","fucking",1,"negative"
"84","1","funny",1,"negative"
"85","1","gall",2,"negative"
"86","1","glorify",1,"positive"
"87","1","gold",1,"positive"
"88","1","good",5,"positive"
"89","1","goodwill",1,"positive"
"90","1","great",1,"positive"
"91","1","happy",2,"positive"
"92","1","harassed",1,"negative"
"93","1","hard",3,"negative"
"94","1","harmed",1,"negative"
"95","1","hate",3,"negative"
"96","1","hatred",1,"negative"
"97","1","hell",2,"negative"
"98","1","hero",3,"positive"
"99","1","horrible",1,"negative"
"100","1","hostile",1,"negative"
"101","1","humiliation",1,"negative"
"102","1","hurt",1,"negative"
"103","1","hypocrisy",2,"negative"
"104","1","hypocrite",1,"negative"
"105","1","hypocritical",1,"negative"
"106","1","ideal",1,"positive"
"107","1","ignorance",1,"negative"
"108","1","ignorant",2,"negative"
"109","1","ignore",1,"negative"
"110","1","illogical",1,"negative"
"111","1","immense",1,"positive"
"112","1","impeccable",1,"positive"
"113","1","imperfections",1,"negative"
"114","1","inconvenience",1,"negative"
"115","1","insane",1,"negative"
"116","1","intelligence",2,"positive"
"117","1","jerk",1,"negative"
"118","1","kill",1,"negative"
"119","1","killed",5,"negative"
"120","1","killing",2,"negative"
"121","1","lie",4,"negative"
"122","1","lied",3,"negative"
"123","1","lies",1,"negative"
"124","1","limited",1,"negative"
"125","1","logical",1,"positive"
"126","1","loophole",1,"negative"
"127","1","lose",2,"negative"
"128","1","lost",6,"negative"
"129","1","lying",2,"negative"
"130","1","manipulation",1,"negative"
"131","1","missed",1,"negative"
"132","1","mistrust",1,"negative"
"133","1","mystery",1,"negative"
"134","1","negative",1,"negative"
"135","1","openly",1,"positive"
"136","1","pain",1,"negative"
"137","1","patience",1,"positive"
"138","1","peace",9,"positive"
"139","1","peaceful",1,"positive"
"140","1","pointless",1,"negative"
"141","1","praising",1,"positive"
"142","1","pretty",1,"positive"
"143","1","prison",4,"negative"
"144","1","prisoner",1,"negative"
"145","1","problem",1,"negative"
"146","1","promptly",1,"positive"
"147","1","propaganda",5,"negative"
"148","1","properly",1,"positive"
"149","1","proud",1,"positive"
"150","1","ready",2,"positive"
"151","1","realistic",1,"positive"
"152","1","reasonable",1,"positive"
"153","1","refusal",1,"negative"
"154","1","reputation",1,"positive"
"155","1","restricted",1,"negative"
"156","1","retarded",2,"negative"
"157","1","ridiculous",1,"negative"
"158","1","right",3,"positive"
"159","1","rival",1,"negative"
"160","1","rogue",3,"negative"
"161","1","ruined",1,"negative"
"162","1","rumor",1,"negative"
"163","1","sad",1,"negative"
"164","1","sane",1,"positive"
"165","1","sarcastic",1,"negative"
"166","1","scarcely",1,"negative"
"167","1","sensitive",3,"positive"
"168","1","shady",1,"negative"
"169","1","sham",1,"negative"
"170","1","shit",2,"negative"
"171","1","shortage",3,"negative"
"172","1","significant",1,"positive"
"173","1","skeptical",1,"negative"
"174","1","smart",1,"positive"
"175","1","smell",1,"negative"
"176","1","smile",1,"positive"
"177","1","somber",1,"negative"
"178","1","staunchly",1,"positive"
"179","1","strike",5,"negative"
"180","1","stuck",3,"negative"
"181","1","stupid",1,"negative"
"182","1","success",1,"positive"
"183","1","successful",1,"positive"
"184","1","suffering",1,"negative"
"185","1","sufficient",1,"positive"
"186","1","superior",1,"positive"
"187","1","supported",1,"positive"
"188","1","supporting",1,"positive"
"189","1","supports",1,"positive"
"190","1","suspect",1,"negative"
"191","1","tense",1,"negative"
"192","1","tension",1,"negative"
"193","1","terror",1,"negative"
"194","1","terrorism",5,"negative"
"195","1","thank",1,"positive"
"196","1","thankful",2,"positive"
"197","1","thwart",1,"negative"
"198","1","torture",2,"negative"
"199","1","tricked",1,"negative"
"200","1","triumphant",1,"positive"
"201","1","trust",4,"positive"
"202","1","trusted",1,"positive"
"203","1","truthfully",1,"positive"
"204","1","twisted",1,"negative"
"205","1","ulterior",1,"negative"
"206","1","unbiased",1,"positive"
"207","1","unfettered",1,"positive"
"208","1","unfortunately",1,"negative"
"209","1","unhappy",1,"negative"
"210","1","urgent",1,"negative"
"211","1","useless",1,"negative"
"212","1","utterly",1,"negative"
"213","1","violate",1,"negative"
"214","1","well",8,"positive"
"215","1","win",1,"positive"
"216","1","winning",1,"positive"
"217","1","wonder",1,"positive"
"218","1","work",2,"positive"
"219","1","worrisome",1,"negative"
"220","1","worry",1,"negative"
"221","1","worst",1,"negative"
"222","1","worth",1,"positive"
"223","1","wow",1,"positive"
"224","1","wrong",1,"negative"
