"","document","term","count","sentiment"
"1","1","achievement",1,"positive"
"2","1","adamant",1,"negative"
"3","1","afraid",2,"negative"
"4","1","aggressor",1,"negative"
"5","1","anger",1,"negative"
"6","1","assault",1,"negative"
"7","1","assure",1,"positive"
"8","1","attack",12,"negative"
"9","1","attacks",3,"negative"
"10","1","available",2,"positive"
"11","1","award",1,"positive"
"12","1","bad",4,"negative"
"13","1","baseless",1,"negative"
"14","1","bash",1,"negative"
"15","1","bashed",1,"negative"
"16","1","bastard",1,"negative"
"17","1","beauty",1,"positive"
"18","1","believable",1,"positive"
"19","1","bent",1,"negative"
"20","1","best",2,"positive"
"21","1","better",6,"positive"
"22","1","bias",1,"negative"
"23","1","biased",2,"negative"
"24","1","bitch",1,"negative"
"25","1","blackmail",1,"negative"
"26","1","bliss",1,"positive"
"27","1","bloody",1,"negative"
"28","1","blunder",1,"negative"
"29","1","bomb",3,"negative"
"30","1","brave",1,"positive"
"31","1","breaking",1,"negative"
"32","1","celebrated",1,"positive"
"33","1","clear",2,"positive"
"34","1","clearly",2,"positive"
"35","1","condemned",3,"negative"
"36","1","conflict",1,"negative"
"37","1","contradict",1,"negative"
"38","1","correct",1,"positive"
"39","1","crafty",1,"negative"
"40","1","crashed",1,"negative"
"41","1","crazy",1,"negative"
"42","1","credible",2,"positive"
"43","1","crisis",1,"negative"
"44","1","criticize",1,"negative"
"45","1","cry",1,"negative"
"46","1","damage",3,"negative"
"47","1","damn",1,"negative"
"48","1","damning",1,"negative"
"49","1","dangerous",1,"negative"
"50","1","dead",1,"negative"
"51","1","death",1,"negative"
"52","1","defeat",1,"positive"
"53","1","delay",2,"negative"
"54","1","delusion",1,"negative"
"55","1","delusional",1,"negative"
"56","1","denied",5,"negative"
"57","1","dense",1,"negative"
"58","1","dents",1,"negative"
"59","1","denying",1,"negative"
"60","1","die",3,"negative"
"61","1","died",1,"negative"
"62","1","diplomatic",1,"positive"
"63","1","disheartening",1,"negative"
"64","1","disputed",1,"negative"
"65","1","doubt",1,"negative"
"66","1","dread",2,"negative"
"67","1","dreadful",1,"negative"
"68","1","dud",1,"negative"
"69","1","dying",1,"negative"
"70","1","enemy",4,"negative"
"71","1","enough",2,"positive"
"72","1","erase",1,"negative"
"73","1","evil",1,"negative"
"74","1","excuse",2,"negative"
"75","1","exhausted",1,"negative"
"76","1","extremism",1,"negative"
"77","1","extremists",1,"negative"
"78","1","failed",1,"negative"
"79","1","failure",2,"negative"
"80","1","fair",1,"positive"
"81","1","fall",1,"negative"
"82","1","famously",1,"positive"
"83","1","fear",2,"negative"
"84","1","fiction",1,"negative"
"85","1","flares",1,"negative"
"86","1","free",1,"positive"
"87","1","fuck",4,"negative"
"88","1","fucking",3,"negative"
"89","1","gall",2,"negative"
"90","1","gold",1,"positive"
"91","1","good",5,"positive"
"92","1","grace",2,"positive"
"93","1","happy",2,"positive"
"94","1","harassed",1,"negative"
"95","1","hard",3,"negative"
"96","1","harmed",1,"negative"
"97","1","hate",1,"negative"
"98","1","hatred",1,"negative"
"99","1","hell",1,"negative"
"100","1","hero",7,"positive"
"101","1","hilarious",2,"positive"
"102","1","honesty",1,"positive"
"103","1","horrible",1,"negative"
"104","1","hostile",1,"negative"
"105","1","humiliate",1,"negative"
"106","1","humiliation",1,"negative"
"107","1","hypocrisy",2,"negative"
"108","1","hypocrite",1,"negative"
"109","1","hypocritical",1,"negative"
"110","1","ideal",1,"positive"
"111","1","idiotic",1,"negative"
"112","1","ignorance",1,"negative"
"113","1","ignorant",2,"negative"
"114","1","ignore",1,"negative"
"115","1","illogical",1,"negative"
"116","1","immense",1,"positive"
"117","1","impeccable",1,"positive"
"118","1","imperfections",1,"negative"
"119","1","inconvenience",1,"negative"
"120","1","insane",1,"negative"
"121","1","insecurity",1,"negative"
"122","1","intelligence",2,"positive"
"123","1","issue",1,"negative"
"124","1","issues",1,"negative"
"125","1","jerk",1,"negative"
"126","1","kill",1,"negative"
"127","1","killed",8,"negative"
"128","1","killing",6,"negative"
"129","1","lack",1,"negative"
"130","1","leading",1,"positive"
"131","1","leads",1,"positive"
"132","1","lethal",1,"negative"
"133","1","lie",3,"negative"
"134","1","lied",2,"negative"
"135","1","lies",1,"negative"
"136","1","limited",1,"negative"
"137","1","logical",1,"positive"
"138","1","loophole",1,"negative"
"139","1","lose",2,"negative"
"140","1","lost",5,"negative"
"141","1","loved",1,"positive"
"142","1","loving",1,"positive"
"143","1","lying",1,"negative"
"144","1","missed",1,"negative"
"145","1","mistrust",1,"negative"
"146","1","mystery",1,"negative"
"147","1","needy",1,"negative"
"148","1","negative",1,"negative"
"149","1","obscenely",1,"negative"
"150","1","offence",1,"negative"
"151","1","opposition",1,"negative"
"152","1","pain",1,"negative"
"153","1","patience",1,"positive"
"154","1","peace",9,"positive"
"155","1","peacefully",2,"positive"
"156","1","perfectly",1,"positive"
"157","1","perversely",1,"negative"
"158","1","pointless",1,"negative"
"159","1","praising",1,"positive"
"160","1","pretty",2,"positive"
"161","1","prison",4,"negative"
"162","1","prisoner",1,"negative"
"163","1","problem",3,"negative"
"164","1","promptly",1,"positive"
"165","1","propaganda",5,"negative"
"166","1","properly",1,"positive"
"167","1","rational",1,"positive"
"168","1","ready",2,"positive"
"169","1","realistic",1,"positive"
"170","1","recommend",1,"positive"
"171","1","refusal",1,"negative"
"172","1","reputation",1,"positive"
"173","1","restricted",1,"negative"
"174","1","retaliate",1,"negative"
"175","1","retarded",2,"negative"
"176","1","ridiculous",1,"negative"
"177","1","right",6,"positive"
"178","1","rogue",3,"negative"
"179","1","ruined",1,"negative"
"180","1","rumor",1,"negative"
"181","1","rumours",2,"negative"
"182","1","sad",1,"negative"
"183","1","sane",1,"positive"
"184","1","sarcastic",1,"negative"
"185","1","scarcely",1,"negative"
"186","1","sensible",1,"positive"
"187","1","sensitive",3,"positive"
"188","1","sham",1,"negative"
"189","1","shit",5,"negative"
"190","1","shortage",1,"negative"
"191","1","significant",1,"positive"
"192","1","smell",1,"negative"
"193","1","smile",1,"positive"
"194","1","somber",1,"negative"
"195","1","sorry",1,"negative"
"196","1","staunchly",1,"positive"
"197","1","strike",7,"negative"
"198","1","stuck",2,"negative"
"199","1","stupid",2,"negative"
"200","1","success",2,"positive"
"201","1","successful",1,"positive"
"202","1","suffering",1,"negative"
"203","1","sufficient",1,"positive"
"204","1","superior",1,"positive"
"205","1","support",1,"positive"
"206","1","supported",1,"positive"
"207","1","supporting",1,"positive"
"208","1","supports",1,"positive"
"209","1","suspect",1,"negative"
"210","1","tense",1,"negative"
"211","1","tension",1,"negative"
"212","1","terror",1,"negative"
"213","1","terrorism",8,"negative"
"214","1","thank",1,"positive"
"215","1","threat",1,"negative"
"216","1","thwart",1,"negative"
"217","1","torture",1,"negative"
"218","1","tricked",1,"negative"
"219","1","triumphant",1,"positive"
"220","1","trust",2,"positive"
"221","1","trusted",2,"positive"
"222","1","trustworthy",1,"positive"
"223","1","truthfully",1,"positive"
"224","1","twisted",1,"negative"
"225","1","ulterior",1,"negative"
"226","1","unbiased",1,"positive"
"227","1","unfettered",1,"positive"
"228","1","unfortunately",1,"negative"
"229","1","unhappy",1,"negative"
"230","1","urgent",1,"negative"
"231","1","useless",1,"negative"
"232","1","utterly",1,"negative"
"233","1","violate",1,"negative"
"234","1","wasted",1,"negative"
"235","1","weak",1,"negative"
"236","1","welcome",1,"positive"
"237","1","well",6,"positive"
"238","1","win",1,"positive"
"239","1","winning",1,"positive"
"240","1","wonder",3,"positive"
"241","1","work",1,"positive"
"242","1","worry",1,"negative"
"243","1","worse",1,"negative"
"244","1","wow",1,"positive"
"245","1","wrong",1,"negative"
